1955+335	CYG_XXI	19:57:40.521	+33:38:28.12
1956+351	CYG.X-1	19:58:21.5785	+35:12:07.0377
1957+405	CYG_A	19:59:28.35839	+40:44:02.4249
1958-179	$	20:00:57.090798	-17:48:57.66868
2005+403	$	20:07:44.94499	+40:29:48.6113
2007+777	$	20:05:30.99883	+77:52:43.2493
2008-159	$	20:11:15.7089	-15:46:40.4433
2013+370	$	20:15:28.71263	+37:10:59.6935
2015+379	P_CYG	20:17:47.1082	+38:01:58.5788
2021+317	$	20:23:19.0170	+31:53:02.308
2021+516	PSR2021	20:22:49.8047	+51:54:49.2947
2021+614	$	20:22:06.68203	+61:36:58.8098
2022+542	$	20:23:56.0302	+54:27:36.3484
2023+336	$	20:25:10.8417	+33:43:00.216
2030+407	CYG_X-3	20:32:25.76740	+40:57:28.2794
2031+410	CYG_OB2_9	20:33:10.6197	+41:15:08.6011
2034+599	SN1980K	20:35:30.0605	+60:06:24.1798
2037+421	DR21	20:39:01.29597	+42:19:33.9579
2037+511	3C418	20:38:37.03459	+51:19:12.6649
2041+433	G8400.0	20:53:45.3256	+43:32:47.4473
2048+312	CL4	20:50:51.11664	+31:27:27.4922
2049+175	$	20:51:35.3793	+17:43:38.3357
2050+363	$	20:52:51.8338	+36:35:20.7037
2100+468	$	21:02:16.9931	+47:02:15.1648
2121+053	$	21:23:44.51727	+05:35:22.0971
2128+048	$	21:30:32.8740	+05:02:17.450
2128-123	$	21:31:35.26153	-12:07:04.7977
2131-021	$	21:34:10.3130	-01:53:17.280
2134+004	2134+00	21:36:38.58615	+00:41:54.2195
2136+141	$	21:39:01.30901	+14:23:35.9949
2144+092	$	21:47:10.1590	+09:29:46.650
2145+067	$	21:48:05.45857	+06:57:38.6061
2147+066	$	21:49:48.3621	+07:03:21.9609
2147+145	$	21:50:23.600	+14:49:47.92
2149+056	$	21:51:37.87527	+05:52:12.9500
2150+173	$	21:52:24.81981	+17:34:37.7989
2155-152	$	21:58:06.28149	-15:01:09.3225
2159+436	RT_LAC	22:01:30.5231	+43:53:25.0202
2200+420	BL_LAC	22:02:43.29121	+42:16:39.9837
2201+315	$	22:03:14.97564	+31:45:38.2749
2202+469	HK_LAC	22:04:56.3861	+47:14:04.6958
2203-188	$	22:06:10.4130	-18:35:38.770
2206+456	AR_LAC	22:08:41.0676	+45:44:29.4380
2216-038	$	22:18:52.03758	-03:35:36.8770
2223-052	3C446	22:25:47.25925	-04:57:01.3938
2227-088	$	22:29:40.08401	-08:32:54.4378
2229+391	3C449	22:31:20.64093	+39:21:30.9642
2230+114	CTA102	22:32:36.40937	+11:43:50.9024
2234+282	$	22:36:22.471	+28:28:57.42
2243-123	$	22:46:18.23187	-12:06:51.2841
2250+165	HD216489	22:53:02.1661	+16:50:29.4788
2251+158	3C454.3	22:53:57.74786	+16:08:53.5655
2255-282	$	22:58:05.962922	-27:58:21.25767
2310+024	SZ_PSC	23:13:23.7645	+02:40:31.31
2319+272	$	23:21:59.86258	+27:32:46.4458
2320-035	2320-035	23:23:31.8656	-03:17:05.1608
2321+585	CAS_A	23:23:24.7316	+58:48:58.3452
2328+107	$	23:30:40.8490	+11:00:18.680
2335+267	3C465	23:38:29.37512	+27:01:53.7613
2335+462	LAM_AND	23:37:33.4280	+46:27:38.0605
2337+264	$	23:40:29.029	+26:41:56.79
2341-155	R_AQR	23:43:49.2479	-15:17:03.1981
2344+092	2344+09A	23:46:36.8390	+09:30:45.490
2344+092	2344+09B	23:47:09.1834	+09:30:48.2092
2345-167	$	23:48:02.60872	-16:31:12.0233
2347+361	HR9024	23:49:40.8595	+36:25:30.7967
2352+283	HD224085	23:55:03.1745	+28:38:00.8408
2352+495	DA611	23:55:09.3643	+49:50:09.1228
2355+512	R_CAS	23:58:24.3558	+51:23:16.8514
0138-170	UV_CETI	01:38:58.9550	-17:57:08.77
1655-080	WOLF	16:55:29.3560	-08:20:01.37
0734+310	YYGEM	07:34:37.5820	+31:52:12.17
0804+499	OJ508	08:08:39.66592	+49:50:36.5263
0042+412	M31	00:42:48	+41:16:0
